Awardee;Funds Obligated to Date;Agency
OHIO STATE UNIVERSITY, THE;$1,389;NSF
UNIVERSITY OF CALIFORNIA MERCED;$138,456;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$28,000;NASA
SETI INSTITUTE;$137,913;NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$561,954;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$309,999;NSF
UNIVERSITY OF CHICAGO, THE;$80,000;NASA
UNIVERSITY OF WISCONSIN SYSTEM;$59,962;NASA
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$96,408;NSF
MORGAN STATE UNIVERSITY (INC);$242,816;NASA
UNIVERSITY OF TENNESSEE;$1,377,955;NSF
NEVADA SYSTEM OF HIGHER EDUCATION;$243,878;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$224,174;NASA
UNIVERSITY OF MISSOURI SYSTEM;$299,995;NSF
WASHINGTON STATE UNIVERSITY;$666,969;NSF
UNIVERSITY OF ARIZONA;$6,363;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$337,046;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$43,600;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$161,000;NSF
UNIVERSITY OF HOUSTON SYSTEM;$147,236;NSF
TRUSTEES OF INDIANA UNIVERSITY;$199,995;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$13,170;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$650,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$430,580;NSF
UNIVERSITY OF OKLAHOMA;$546,932;NSF
SCRIPPS RESEARCH INSTITUTE, THE;$360,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$286,162;NSF
UNIVERSITY OF ARIZONA;$514,167;NSF
SOLICULTURE;$749,216;NSF
AMERICAN ROCK MECHANICS ASSOCIATION FOUNDATION;$13,250;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$159,402;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$444,708;NSF
UNIVERSITY OF KENTUCKY;$25,521;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$0;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$204,935;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$94,996;NSF
VIRGINIA COMMONWEALTH UNIVERSITY;$250,000;NSF
UNIVERSITY OF MIAMI;$177,950;NASA
UNIVERSITY OF UTAH, THE;$211,679;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$800,000;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$705,970;NSF
UNIVERSITY OF MEMPHIS, THE;$32,258;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$200,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$500,000;NSF
NEW YORK UNIVERSITY;$200,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$99,993;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$320,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$455,653;NSF
OREGON HEALTH & SCIENCE UNIVERSITY;$249,999;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$100,000;NSF
AUBURN UNIVERSITY;$343,330;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$359,999;NSF
UNIVERSITY OF MIAMI;$0;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$441,858;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$392,578;NSF
UNIVERSITY OF NEW MEXICO;$513,087;NSF
UNIVERSITY OF TENNESSEE;$347,216;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$410,000;NSF
UNIVERSITY OF ARIZONA;$1,206,322;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$600,000;NSF
UNIVERSITY OF MASSACHUSETTS;$700,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$249,992;NSF
UNIVERSITY OF CHICAGO, THE;$300,000;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$139,874;NSF
UNIVERSITY OF UTAH, THE;$200,000;NSF
PH MATTER, LLC;$508,000;NSF
UNIVERSITY OF TENNESSEE;$249,801;NSF
UNIVERSITY OF TENNESSEE;$200,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$325,000;NSF
UNIVERSITY OF MASSACHUSETTS;$500,000;NSF
LEARNING SITES INC;$750,000;NSF
LAWRENCE UNIVERSITY;$200,000;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$799,998;NSF
UNIVERSITY OF MASSACHUSETTS;$600,000;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$375,131;NSF
TRUSTEES OF INDIANA UNIVERSITY;$242,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$19,436;NSF
CORPORATION OF HAVERFORD COLLEGE, THE;$349,020;NSF
CORNELL UNIVERSITY, INC;$273,038;NSF
UNIVERSITY OF ARIZONA;$4,500,000;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$316,202;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$203,010;NSF
OBERLIN COLLEGE;$100,000;NSF
UNIVERSITY OF ILLINOIS;$374,867;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$0;NSF
UNIVERSITY OF ARIZONA;$263,157;NSF
UNIVERSITY OF MAINE SYSTEM;$147,365;NSF
UNIVERSITY OF MARYLAND;$250,000;NSF
UNIVERSITY OF MISSOURI SYSTEM;$100,000;NSF
UNIVERSITY OF CHICAGO, THE;$99,995;NSF
UNIVERSITY OF FLORIDA;$220,000;NSF
UNIVERSITY OF NEW ORLEANS;$121,731;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$150,000;NSF
WOODS HOLE RESEARCH CENTER, INC., THE;$184,758;NASA
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$125,000;NASA
STEPHEN F AUSTIN STATE UNIVERSITY;$497,346;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$1,504,734;NSF
JOHNS HOPKINS UNIVERSITY, THE;$322,129;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$163,586;NSF
NORTH CAROLINA STATE UNIVERSITY;$500,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$400,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$300,000;NSF
UNIVERSITY OF OREGON;$217,687;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$121,603;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$150,000;NSF
UNIVERSITY OF CHICAGO, THE;$120,000;NSF
UNIVERSITY OF ILLINOIS;$210,000;NSF
JOHNS HOPKINS UNIVERSITY, THE;$32,950;NASA
NATIONAL ACADEMY OF SCIENCES;$150,000;NASA
UNIVERSITY OF NEW MEXICO;$80,337;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$57,680;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$352,569;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$600,348;NSF
UNIVERSITY OF PITTSBURGH THE;$625,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$76,779;NSF
ILLINOIS STATE UNIVERSITY;$449,879;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$115,000;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$225,185;NSF
DUKE UNIVERSITY;$300,000;NSF
CARNEGIE MELLON UNIVERSITY;$242,046;NSF
ARIZONA STATE UNIVERSITY;$306,840;NSF
TEXAS A & M UNIVERSITY;$239,636;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$502,000;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$449,778;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;$75,317;NSF
UNIVERSITY OF ILLINOIS;$200,000;NSF
SAM HOUSTON STATE UNIVERSITY;$388,001;NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER OF SAN ANTONIO;$600,065;NSF
UNIVERSITY OF OKLAHOMA;$200,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$2,500,000;NSF
UNIVERSITY OF PITTSBURGH THE;$223,201;NSF
NORTHWESTERN UNIVERSITY;$1,499,871;NSF
UNIVERSITY OF FLORIDA;$488,107;NSF
UNIVERSITY OF FLORIDA;$159,957;NSF
TRUSTEES OF TUFTS COLLEGE INC;$388,652;NSF
CARNEGIE MELLON UNIVERSITY;$480,000;NSF
OHIO STATE UNIVERSITY, THE;$400,000;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$1,742,099;NSF
COLORADO STATE UNIVERSITY;$270,768;NSF
CARNEGIE MELLON UNIVERSITY;$623,946;NSF
UNIVERSITY OF DELAWARE;$226,000;NSF
YALE UNIVERSITY;$98,897;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$48,934;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$430,346;NSF
MILWAUKEE SCHOOL OF ENGINEERING;$540,091;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$171,708;NSF
VANDERBILT UNIVERSITY, THE;$167,706;NSF
UNIVERSITY OF ARIZONA;$496,830;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$360,000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$141,124;NSF
CHICKASAW NATION;$51,928;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$360,000;NSF
PORTLAND STATE UNIVERSITY;$1,067,911;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$300,000;NSF
MARQUETTE UNIVERSITY;$400,000;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$524,203;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$230,204;NSF
UNIVERSITY OF PITTSBURGH THE;$390,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$75,888;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$451,000;NSF
FLORIDA ATLANTIC UNIVERSITY;$155,134;NSF
CARY INSTITUTE OF ECOSYSTEM STUDIES, INC.;$503,387;NSF
UNIVERSITY OF ARIZONA;$1,156,451;NSF
IDAHO STATE UNIVERSITY;$85,646;NSF
UNIVERSITY OF ILLINOIS;$250,000;NSF
UNIVERSITY OF FLORIDA;$76,698;NSF
INFINITESIMAL LLC;$485,094;NSF
UNIVERSITY OF CONNECTICUT;$1,450,199;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$10,000;NSF
ARIZONA STATE UNIVERSITY;$516,855;NSF
UNIVERSITY OF MARYLAND;$116,058;NSF
TEXAS A & M UNIVERSITY;$300,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$298,675;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$399,792;NSF
PURDUE UNIVERSITY;$47,921;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$412,000;NSF
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE;$89,898;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$168,273;NSF
NEW YORK UNIVERSITY;$45,000;NSF
YALE UNIVERSITY;$106,000;NSF
UNIVERSITY OF WASHINGTON;$138,050;NSF
SALISBURY UNIVERSITY;$48,915;NSF
UNIVERSITY OF MASSACHUSETTS;$374,875;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$286,881;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$360,000;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$220,053;NSF
OHIO STATE UNIVERSITY, THE;$241,678;NSF
CORPORATION OF HAVERFORD COLLEGE, THE;$299,998;NSF
UNIVERSITY OF NORTH TEXAS;$159,311;NSF
UNIVERSITY OF ALABAMA;$220,000;NSF
OBERLIN COLLEGE;$240,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$425,000;NSF
BETHEL UNIVERSITY;$252,393;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$402,483;NSF
UNIVERSITY OF UTAH, THE;$521,900;NSF
VANDERBILT UNIVERSITY, THE;$400,000;NSF
TEXAS A & M UNIVERSITY;$500,080;NSF
TRUSTEES OF TUFTS COLLEGE INC;$431,447;NSF
UNIVERSITY OF SOUTH CAROLINA;$441,500;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$465,000;NSF
ARIZONA STATE UNIVERSITY;$177,492;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$72,996;NSF
UNIVERSITY OF ILLINOIS;$148,210;NSF
UNIVERSITY OF UTAH, THE;$158,632;NSF
TEXAS A & M UNIVERSITY;$109,907;NSF
UNIVERSITY OF LOUISIANA AT LAFAYETTE;$6,736;NSF
UNIVERSITY OF PITTSBURGH THE;$404,500;NSF
KENT STATE UNIVERSITY;$580,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$383,920;NSF
NORTH CAROLINA STATE UNIVERSITY;$999,809;NSF
SYRACUSE UNIVERSITY;$130,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$311,434;NSF
MASSACHUSETTS GENERAL HOSPITAL, THE;$350,000;NSF
UNIVERSITY OF MARYLAND;$438,418;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$260,000;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$50,000;NSF
PRESIDENT & TRUSTEES OF WILLIAMS COLLEGE;$49,915;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$64,998;NASA
CARNEGIE MELLON UNIVERSITY;$350,001;NSF
WASHINGTON STATE UNIVERSITY;$146,156;NSF
BAYLOR UNIVERSITY;$251,000;NSF
UTAH STATE UNIVERSITY;$51,268;NSF
SYRACUSE UNIVERSITY;$256,166;NSF
UNIVERSITY OF WASHINGTON;$252,184;NSF
CORNELL UNIVERSITY, INC;$239,802;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$302,103;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$998,555;NSF
LONGMAN, ANTHONY P;$100,000;NASA
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$361,000;NSF
NATIONAL ACADEMY OF SCIENCES;$670,000;NSF
COLORADO STATE UNIVERSITY;$328,681;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$320,274;NSF
UNIVERSITY OF MARYLAND;$1,050,500;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$375,000;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$680,000;NSF
TEXAS A & M UNIVERSITY;$225,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$207,383;NASA
PRESIDENT & TRUSTEES OF WILLIAMS COLLEGE;$452,196;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$486,000;NSF
OHIO STATE UNIVERSITY, THE;$499,830;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$184,000;NSF
WASHINGTON STATE UNIVERSITY;$254,800;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$275,000;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$172,992;NSF
UNIVERSITY OF ALABAMA;$349,600;NSF
CARLETON COLLEGE;$350,000;NSF
UNIVERSITY OF CONNECTICUT;$148,208;NSF
UNIVERSITY OF MARYLAND;$355,760;NSF
CORNELL UNIVERSITY, INC;$240,000;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$377,125;NSF
ADNET SYSTEMS, INC.;$55,331;NASA
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$79,994;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$174,337;NSF
YALE UNIVERSITY;$611,600;NSF
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE;$1,410,363;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$285,544;NSF
MICHIGAN STATE UNIVERSITY;$0;NSF
DUKE UNIVERSITY;$148,000;NSF
CARNEGIE MELLON UNIVERSITY;$40,000;NSF
EAST TENNESSEE STATE UNIVERSITY;$133,715;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$82,000;NSF
COMPUTING RESEARCH ASSOCIATION INC;$36,118;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$28,538;NSF
PURDUE UNIVERSITY;$74,716.69;NSF
UNIVERSITY OF WISCONSIN- SYSTEM;$34,598;NSF
CORNELL UNIVERSITY, INC;$400,000;NSF
NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.;$375,000;NSF
UNIVERSITY OF OREGON;$290,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$300,000;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$180,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$171,097;NASA
NEW YORK UNIVERSITY;$60,000;NASA
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$19,239.41;NSF
NORTHEASTERN UNIVERSITY;$199,277;NSF
COLORADO STATE UNIVERSITY;$142,626;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$1,500,000;NSF
UNIVERSITY OF CONNECTICUT;$141,039.16;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$274,100;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$410,118;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$360,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$270,000;NSF
WESTERN WASHINGTON UNIVERSITY;$197,530;NSF
LEHIGH UNIVERSITY;$300,000;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$299,848;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$617,005;NSF
NORTHWESTERN UNIVERSITY;$677,357;NSF
NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.;$440,640;NSF
UNIVERSITY OF ILLINOIS;$513,862;NSF
GEORGIA TECH RESEARCH CORPORATION;$449,999;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$15,000;NSF
BOISE STATE UNIVERSITY;$298,000;NSF
AEROVALVE LLC;$750,000;NSF
NORTHWESTERN UNIVERSITY;$450,000;NSF
ARIZONA STATE UNIVERSITY;$455,125;NSF
WILLIAM MARSH RICE UNIVERSITY;$585,000;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$304,744;NSF
CARNEGIE INSTITUTION OF WASHINGTON;$26,219;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$505,440;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$153,546;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$75,000;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$300,000;NSF
SANTA FE INSTITUTE OF SCIENCE;$249,153;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$999,994;NSF
UNIVERSITY OF WASHINGTON;$496,471;NSF
NORTHWESTERN UNIVERSITY;$355,950;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$19,386;NSF
NORTHWESTERN UNIVERSITY;$479,865;NSF
TANGIBLE HAPTICS LLC;$715,725;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$720,400;NSF
COLGATE UNIVERSITY;$199,307;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$123,540;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$80,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$132,562;NSF
SEATTLE UNIVERSITY;$611,412;NSF
STATE BOARD FOR COMMUNITY COLLEGES AND OCCUPATIONAL EDUCATIONAL SYSTEM;$589,843;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$621,708;NSF
NORTH CAROLINA STATE UNIVERSITY;$633,864;NSF
ONONDAGA COMMUNITY COLLEGE;$599,001;NSF
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY;$626,210;NSF
BELLEVUE COLLEGE;$585,829;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$99,999;NSF
UNIVERSITY OF CINCINNATI;$199,998;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$75,885;NSF
CLEMSON UNIVERSITY;$0;NSF
SYRACUSE UNIVERSITY;$24,999.34;NASA
LELAND STANFORD JUNIOR UNIVERSITY, THE;$95,000;NASA
VIRGINIA COMMONWEALTH UNIVERSITY;$799,719;NSF
UNIVERSITY OF WYOMING;$1,186,365;NSF
TEXAS A&M INTERNATIONAL UNIVERSITY FOUNDATION, INC.;$1,199,971;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$32,158;NSF
CARNEGIE MELLON UNIVERSITY;$425,000;NSF
UNIVERSITY OF ALABAMA IN HUNTSVILLE;$118,254;NSF
NATURE AMERICA, INC.;$25,000;NSF
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE;$150,000;NASA
UNIVERSITY OF ALABAMA;$281,743;NSF
UNIVERSITY OF SOUTH CAROLINA;$137,374;NSF
REHABILITATION INSTITUTE OF CHICAGO;$999,900;NSF
UNIVERSITY OF OREGON;$525,000;NSF
FLORIDA STATE UNIVERSITY, THE;$230,000;NSF
UNIVERSITY OF MARYLAND;$600,000;NSF
MILLS COLLEGE;$1,379,461;NSF
UNIVERSITY OF ILLINOIS;$435,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$186,533;NSF
PLANETARY SCIENCE INSTITUTE;$104,374;NASA
KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.;$1,198,224;NSF
UNIVERSITY OF CALIFORNIA MERCED;$342,437;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$180,000;NSF
UNIVERSITY OF MISSOURI SYSTEM;$390,000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$0;NSF
LINCOLN UNIVERSITY;$613,865;NSF
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.;$60,000;NASA
DUKE UNIVERSITY;$61,757;NASA
TRINITY UNIVERSITY;$330,000;NSF
YALE UNIVERSITY;$220,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$301,000;NSF
TRANSYLVANIA UNIVERSITY;$616,377;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$10,452;NSF
GEORGE MASON UNIVERSITY;$71,202;NSF
UNIVERSITY OF CHICAGO, THE;$194,000;NSF
MARIST COLLEGE;$625,751;NSF
JACKSON STATE UNIVERSITY;$989,238;NSF
INSTITUTE FOR GLOBAL ENVIRONMENTAL STRATEGIES;$488,000;NSF
COLLEGE OF NEW JERSEY;$635,567;NSF
NORTHWESTERN UNIVERSITY;$450,000;NSF
APPALACHIAN STATE UNIVERSITY;$620,750;NSF
APPALACHIAN STATE UNIVERSITY;$620,750;NSF
CORNELL UNIVERSITY, INC;$390,000;NSF
NORTHWESTERN UNIVERSITY;$300,000;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$160,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$144,770;NASA
VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA;$1,674,322;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$212,500;NSF
FLORIDA STATE UNIVERSITY, THE;$128,651;NASA
UNIVERSITY OF WASHINGTON;$239,093;NSF
YALE UNIVERSITY;$330,000;NSF
UNIVERSITY OF CENTRAL FLORIDA;$200,000;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$84,601;NSF
JACKSON STATE UNIVERSITY;$349,999;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$43,545;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$99,948;NSF
VANDERBILT UNIVERSITY, THE;$50,000;NSF
MICHIGAN STATE UNIVERSITY;$1,593,193;NSF
CORNELL UNIVERSITY, INC;$85,000;NASA
GEORGIA TECH RESEARCH CORPORATION;$169,204;NASA
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$2,406,430;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$140,781;NSF
UNIVERSITY OF SOUTH CAROLINA;$158,038;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$150,101;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$456,000;NSF
VIRGINIA UNION UNIVERSITY;$98,888;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$130,000;NSF
TRUSTEES OF CLARK UNIVERSITY;$1,130,705;NSF
UNIVERSITY OF CHICAGO, THE;$1,200,000;NSF
CARNEGIE MELLON UNIVERSITY;$289,463;NSF
UNIVERSITY OF TEXAS AT EL PASO;$191,240;NSF
AMERICAN MUSEUM OF NATURAL HISTORY, THE;$418,464;NSF
WAYNE STATE UNIVERSITY (INC);$200,000;NSF
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION;$199,005;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$524,880;NSF
MARQUETTE UNIVERSITY;$84,000;NSF
UNIVERSITY OF SOUTH CAROLINA;$197,943;NSF
UNIVERSITY OF MASSACHUSETTS;$86,618;NSF
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO;$48,000;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$55,497;NSF
APPALACHIAN STATE UNIVERSITY;$196,377;NSF
NATIONAL ACADEMY OF SCIENCES;$25,000;NSF
CALIFORNIA STATE UNIVERSITY;$299,329;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$407,602;NSF
TEXAS CHRISTIAN UNIVERSITY INC;$128,426;NSF
UNIVERSITY OF SOUTH FLORIDA;$50,632;NSF
CONTRA COSTA COMMUNITY COLLEGE DISTRICT;$625,611;NSF
COLLEGE OF WILLIAM & MARY, THE;$459,198;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$405,449;NSF
GEORGE MASON UNIVERSITY;$144,136;NSF
SMITHSONIAN INSTITUTION;$410,564;NSF
TEXAS A&M UNIVERSITY-COMMERCE;$473,950;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$79,733;NASA
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$181,000;NSF
TRUSTEES OF BOSTON UNIVERSITY;$119,134;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$600,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$585,510;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$373,293;NSF
GEORGE MASON UNIVERSITY;$499,998;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$484,259;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$497,367;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$498,299;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$305,000;NSF
THE GEORGE WASHINGTON UNIVERSITY;$407,968;NSF
